"id","identifiantUnique","identifiantCategorie","approprieEnfant","nombreVues","nombreJaime"
36804,n_z9KoJIeho,24,0,915210,
146,sOapHrFTlyY,24,0,1448504,
1071,hpJysPiyML0,22,0,866695,3017
34894,Gw5bsZ1nYxA,20,0,39032,3525
995,vU9QkiOUBSs,25,0,345511,4891
1045,X1_Zf9uCX2o,26,0,593923,5595
35609,N9g9_uLJfdU,10,0,124455,5974
34582,wEFPiUGVpmY,22,0,120385,7273
810,bs5zsKm0xXY,17,0,941432,7368
1698,"26MRgOgIuiE",22,0,242262,8255
36691,LV-jCQsvW4U,23,0,108585,12768
1262,E2SRqKb7R60,24,0,414926,17125
882,"4JfNZ0nR04Y",22,0,486143,19799
36565,yz7Zuy34610,22,0,5619268,20816
1059,wJ0Vj4uXdVQ,22,0,4709324,23953
35571,OIcaGmzyjo0,20,0,329253,24959
34954,N6c5r2iwgpQ,20,0,712268,31787
36456,TVteKYw2jeY,17,0,1627502,39195
34235,xj3ulN-wynE,23,0,3881457,39327
34093,X7bEEEGomLg,15,0,347226,44726
35399,XHggOfk7wsA,2,0,965679,45743
36631,"0T7vIwo29CU",15,0,590915,45870
36573,nJZ--nfgwzE,22,0,792510,46480
36623,aODOJKbxR9c,10,0,829175,48159
36078,eEpDbIxWVFk,1,0,2160256,59951
36513,FTO1r4F5yAQ,22,0,7923564,69057
1863,nL4IIv-txMA,22,0,856908,78033
36605,f5zHtpMnHps,24,0,8317832,80260
36628,bRk55iPSEqg,23,0,7369826,85978
35819,FClmdUGfJS4,26,0,2068025,86720
1173,FVhKo52tXeg,22,0,942209,87521
776,n-2KD6d2S4s,17,0,1976023,88032
36348,M593R-A8e7k,22,0,1775019,88496
1286,x5zeeAM6BMA,22,0,1777782,90215
1634,V2VK-Kyv7Kg,1,0,1367576,96718
36790,TFQzXdq5U30,23,0,1433903,96748
33449,k0AkeoqqcWY,20,0,1568576,96996
1897,eegSubNb2_4,22,0,1923678,106107
34813,"2gJwfJPQhBs",23,0,27839298,106631
35842,CCwNt9Og0OI,22,0,1448596,113341
325,QHoc4oTf4ns,20,0,3564203,131464
826,"4P96V3NFrI8",22,0,2451838,136280
36659,q1a1yQu8ff0,23,0,1686561,138521
1191,m_BGJs-nJfU,1,0,3113293,146161
1765,"9uIoD5XojhM",22,0,5990523,158323
846,fC73wl9I5no,22,0,5602684,163360
34057,vD21oC4aM8k,22,0,5489120,172309
1641,dbr8c4SmatA,23,0,12491576,178995
36568,_v_ZWmodX5Y,20,0,3095560,181404
36879,YAeBP4WhZnM,20,0,2455424,199048
35248,qkx92pp4UKk,23,0,3123049,214948
1466,utc5Pa3vcIk,22,0,3631820,244210
1894,hJz8EPO4ruU,1,0,4404390,252473
35181,ED6HVGEZVLU,24,0,3594653,255456
35751,Q2s_anUclng,22,0,4446061,258805
1493,zeYcwpx4Cts,22,0,4223314,278098
1840,w8HNMFvAyCA,22,0,13932792,292631
1768,"7FE5v13wMyQ",22,0,42038513,295481
1333,RhEvkhT8tzc,26,0,9726336,308319
1762,"3oNDdmoeVEE",26,0,8703518,357663
35767,LtVWiQoNvSc,24,0,6386065,372774
35980,uKk2azfiSwA,23,0,7247856,378397
437,UY3HQxRlm40,23,0,3979432,431744
36713,XtaLbxfaekw,22,0,8009274,557794
35357,YcKmZA2omb0,22,0,31522994,580757
1391,pB_xXb_z_uw,20,0,10205898,630255
35712,CNoWhtBJq6k,24,0,41643246,805927
36711,--G303V2SCs,24,0,24694870,959775
36383,r_oMBmcsmX0,17,0,34575002,1041454
34283,-iUFUCRnkCI,24,0,828472,
34768,GPHnYBt4eDs,24,0,1149481,
1444,RxVG-OCwX-E,24,0,4022810,
1305,_66Gq-azQ3w,22,0,94799,1212
735,OsYuVJYM8eU,17,0,109319,4501
765,l1Bdmsr9bZQ,17,0,267084,6357
33993,qdkotYoyIko,23,0,257085,7755
33022,kvT9cXbZTS4,20,0,142685,9157
1292,"1oFgXaMRGuM",15,0,93440,14214
36677,PzE1MBbzxCc,15,0,4594490,16764
35614,NHPYgRvBLoo,22,0,425797,26621
35434,"4IT73Xz4OyY",2,0,845685,29178
36644,c8A53BX4a-A,24,0,3398438,30101
662,BzukQKwsOLw,23,0,401703,32236
34121,"5rDNAr05xBQ",26,0,8661633,37949
1132,H3jiKvoQSsk,22,0,1184768,44887
34710,"3zUL2DEH9lk",22,0,666756,51848
34764,pTgN0k3kUt8,26,0,1030497,59626
34426,sOv5mE2v9Lc,22,0,1002963,64984
35574,J6zwo_iZOeo,26,0,1544991,78822
36716,bsksApKmcno,22,0,1959016,79060
1818,aTz67xyuDbI,22,0,1324531,84047
36548,gUXJq7XFaow,19,0,4471112,85533
35849,x47JG7-vLKE,22,0,1500462,85916
35805,"2vD1csaThqQ",24,0,3084795,92150
36616,XDYYOQGEbL4,15,0,22500284,92249
1138,uQlS6ZqQ4Sc,22,0,9737197,95285
1435,"5-bzdkSs7bE",24,0,2164536,95522
36653,cenVxicAFno,27,0,5334693,98337
34287,SnmpOaaNm60,24,0,1286794,98515
34678,"1hqbaTnk8ts",22,0,1371469,108065
792,qcZBnAoSWg4,17,0,3052200,108625
1008,x3pEbrFJlGA,22,0,2425706,109966
1883,CEUBuUJ_i9E,17,0,5056884,116328
36745,"5wI8SKSEckY",22,0,1914883,135996
1388,iS8KSLpFR4s,10,0,2398921,155603
1236,kinD-R1v3Bg,22,0,23899230,159802
34258,n56dxSuv9eg,1,0,1899598,178977
34290,FcQUTFZjSPo,22,0,2414381,179727
35818,H7wjQVoq3Ko,24,0,5060258,180586
35893,CG2agYfmb2E,10,0,2053367,183891
36807,PJuKQSfG6i4,22,0,17436353,194637
1054,kzGgTB4Yqm4,22,0,24250988,222111
908,gfXLDeY-DCI,17,0,2421356,235684
744,uqgCTggc3Wo,17,0,5362956,237099
35999,-IwmIkJ9hf0,22,0,41176066,244332
36837,w1njOWiVsiU,24,0,3258642,283135
1147,UIz3FYxvL6w,15,0,90310407,512256
33050,KS3ono6w6mg,22,0,91640,
561,hlfCtXWOfW8,24,0,336749,
1638,"99sucikTsNM",24,0,1069129,
34218,PBkLP2NLDYY,15,0,5547700,
